id,sentence
Audiobook_0.mp3,ছুড়ন কে আমি শিশুসুলভ বোকামির মিশ্রণ হিসেবে বর্ণনা করব।
Audiobook_1.mp3,তিনি প্রায় সময় ডিনারে এক হাজার ডলার খরচ করতেন।
Audiobook_2.mp3,তিনি তার বন্ধুদের সামনে সম্পদের শো-অফ করতেন।
Audiobook_3.mp3,তিনি প্রকাশ্যে এবং উচ্চস্বরে তার সম্পদ নিয়ে বড়াই করতেন।
Audiobook_4.mp3,প্রায় সময় মাতাল অবস্থায় হোটেল থেকে বের হতেন।
Audiobook_5.mp3,"একদিন তিনি আমার এক সহকর্মীর হাতে নগদ কয়েকহাজার ডলার দিয়ে বললেন, রাস্তার পাশের গয়নার দোকানে যাও এবং আমার জন্যে কয়েক ডলার মূল্যের এক হাজারটি সোনার কয়েন কিনে আনো।"
Audiobook_6.mp3,এক ঘন্টা পর হাতে সোনার কয়েন নিয়ে প্রকৌশলী এবং তার বন্ধুরা প্রশান্ত মহা
Bangladeshi TV Drama_0.mp3,প্রমাণ পাওয়া গেলে তোমার চাকরিটা আর থাকবে না।
Bangladeshi TV Drama_1.mp3,"ইউ আর অ্যাবসলিউটলি রাইট স্যার, ওদেরকে আসলেই চাকরী থেকে বের করে দেয়া উচিত।"
Bangladeshi TV Drama_2.mp3,আফটার অল স্যার এটা আমাদের হোটেল এর সুনাম এর ব্যাপার স্যার। ওদের বের করে দেয়াটা এখন সময় এর দাবী।
Bangladeshi TV Drama_3.mp3,স্যার আমি আমার সেক্টরে যে পরিমাণ ডেডিকেশন নিয়ে কাজ করি ওরা তো তার ধারেকাছেও নাই।
Bangladeshi TV Drama_4.mp3,"তারপরে স্যার দেখেন, মাসের পর মাস একই স্যালারী পেয়ে যাচ্ছে"
Bangladeshi TV Drama_5.mp3,"এটা নিয়ে অবশ্য আমার কোনো কষ্ট ও নাই। দিনশেষে আমার প্রাপ্তিটা ঐদিনের মতই স্যার। মনে আছে আপনার ম্যাডাম যেদিন সুনাম করল আমার সম্পর্কে , আমার জন্য গর্বে আপনার বুকটা ফুলে উঠেছিল, ঐটা আমার প্রাপ্তি স্যার।"
Bangladeshi TV Drama_6.mp3,"তোমার সমস্যা টা আরো অনেক গুরুতর।তুমি শুধু ফিমেল গেস্ট দের কে সার্ভিস দাও,মেল গেস্ট দের কে তুমি কোনো সার্ভিস দাও না।"
Bangladeshi TV Drama_7.mp3,"এটা তো হবে না, তোমাকে দুইজন কেই সার্ভিস দিতে হবে।"
Bengali Advertisement_0.mp3,"ছোটভাই, আপনি নাকি ময়নাকে প্রেমপত্র দিয়েছেন, হ্যাঁ?"
Bengali Advertisement_1.mp3,"হেহে লজ্জা পাও কেন? প্রেম পত্র দেয়া তো ভালো কাজ দিলে বলো কামন জয়, হাসো হাসো।"
Bengali Advertisement_2.mp3,"দেখো, তোমার এই অর্ধেক হাসো, আর অর্ধেক কাঁদো। করো দেখি ভাইয়া।"
Bengali Advertisement_3.mp3,আরে হুর। হুদাই মাসুম ভাইরে নইয়া ফাপর দিতাসস। কিচ্ছু করতে পারো না তোমার।
Bengali Advertisement_4.mp3,"তুমি ঐ যে ময়নারে নিয়া একটা গান আছে না, নাচ আমার ময়না তুই পয়সা পাবি রে,ঐটা একটু নাইচা নাইচা গাও। বুঝছো না গাও।নাচো দেখি।"
Bengali Advertisement_5.mp3,নাচ আমার ময়না তুই। সুন্দর।ময়নারে দেখো আর নাচো।
Bengali Advertisement_6.mp3,গান কি এক লাইনের? পুরা গান গাইতে হইবো ভাইয়া।নইলে সন্ধ্যা পর্যন্ত আপ ডাউন চলবে ভাইয়া। হেহিহি।
Bengali Advertisement_7.mp3,আরে ডিজিউস থাকলে ডাউনলোড দ্যা ফুল সং ফ্রম অয়াপ ডত দিজ্যুস ডট বিডি।
Bengali Advertisement_8.mp3,এমন দিওয়ানা খুজে পাবে না। পুরা গান ডাউনলোড।
Cartoon_0.mp3,"অ্যাঁ অ্যাঁ মাইরবেন না বাবু, ভুল শুনেছি তো। এখনই, এখনই এনে দিচ্ছি বাবু, এখনই এনে দিচ্ছি।"
Cartoon_1.mp3,"গোপু, গোপু, আরে অ্যাই গোপু।কাল আমাকে একটু শ্বশুরবাড়ি যেতে হবে রে, ভোর ভোর।"
Cartoon_2.mp3,"তোর মার শরীরটা ভালো নেই,বুঝলি? আচ্ছা বাবু। তোকে যে একটু জমিদার বাড়ি যেতে হবে। কেন বাবু?"
Cartoon_3.mp3,"আরে মা ঠাকরুন এসছে, আতপ সিদ্ধ খাবেন,একটু কাঁচকলা দিয়ে আসতে হবে।আচ্ছা বাবু, সে আমি কাল সক্কাল সক্কাল দিয়ে আসব নি।"
Cartoon_4.mp3,"হে হে। আপনাকে চিন্তা করতি হবে না। এক্কেবারে জমিদার বাবুর হাতে দিবি বুঝলি, অ্যাঁ?"
Debate_0.mp3,"সদস্য মোঃ নূর আলম হাসান। আজকের এই ছায়া সংসদ বিতর্ক প্রতিযোগিতায় যে পাঁচজন সম্মানিত বিচারক বিচারকার্য সম্পাদন করবেন, সম্মানিত বিচারকরা হচ্ছেন"
Debate_1.mp3,"সম্মানিত বিচারকরা হচ্ছেন সাংবাদিক ও সিনিয়র সংবাদ উপস্থাপক,ফারাবী হাফিজ, চ্যানেল টোয়েন্টি ফোর।"
Debate_2.mp3,"বিচারক হিসেবে রয়েছেন সিনিয়র সাংবাদিক মোরসালিন বাবলা, ব্যবস্থাপনা সংবাদক, প্রতিদিনের বাংলাদেশ। আরো দুজন সম্মানিত বিচারক হচ্ছেন অধ্যাপক আবু মোঃ রইছ,লেখক, বিতর্ক সংগঠক ও নাট্যকার।"
Debate_3.mp3,"বিচারক হিসেবে রয়েছেন সাংবাদিক সবুজ ইউনুস,সহযোগী সম্পাদক, দৈনিক সমকাল। সর্বশেষ বিচারক ডক্টর এস এম মোর্শেদ, প্রক্তন বিতার্কিক,ও উন্নয়ন যোগাযোগ বিশেষজ্ঞ।"
Debate_4.mp3,"আমাদের সাথে সম্মানিত প্রধান অতিথি হিসেবে উপস্থিত রয়েছেন, ফায়ার সার্ভিস ও সিভিল ডিফেন্স অধিদপ্তরের সম্মানিত মহাপরিচালক, ব্রিগেডিয়ার জেনারেল মইনুদ্দিন বি এস পি বার ,এন ডি সি, বি এস সি।"
Indian TV Drama_0.mp3,মনে হচ্ছে সব ফুরিয়ে যেতে বসেছে ঠাকুরজি।
Indian TV Drama_1.mp3,"ওমন কথা বলছিস কেনো গো। আমি বলছি তুই গিয়ে দেখিস সব ভালো হবে। তুই দেখিস, সব ভালো হবে।"
Indian TV Drama_2.mp3, তাহলে এইভাবে কেন?
Indian TV Drama_3.mp3,"?আমি মনের মদ্ধ্যে যে বিসর্জনের বাজনা শুনছি ঠাকুরজি। ও কি কথা গো, ওমন কথা বলছিস কেন?"
Indian TV Drama_5.mp3,"জানি না।,জানি না।আমি যে স্পষ্ট শুনতে পাচ্ছি।"
Movie_0.mp3,"এখনকার ওসি জব্বার কে খুলনায় ট্রান্সফার করিয়ে, তারপর আমি এখানে এসেছিলাম।"
Movie_1.mp3,কারে এইখান থেকে ট্রান্সফার করাইছেন? ওসি জব্বার?
Movie_2.mp3,"হ্যা,আগে এই থানার ওসি ছিল।"
Movie_4.mp3,"জব্বার এখন খুলনায় আছে না?হ্যাঁ, আপনি আমাকে খুলনায় ট্রান্সফার করিয়ে দিন ভাই।"
Movie_5.mp3,আপনি দশ লক্ষ টাকা দিছেন। আমি বিশ লাখ টাকা দিয়া ওসি জব্বার রে।
News Presentation_0.mp3,ক্যামেরায় ছিলেন আমানউল্লাহ ওয়ালস।
News Presentation_1.mp3,নির্বাচনের আগে প্রার্থীরা এক অপরের বিরুদ্ধে নানা অভিযোগ তুললেও গাজীপুর সিটি নির্বাচনের রায় নিয়ে প্রশ্ন নেই কারোরই।কোনো ধরনের অপ্রীতিকর ঘটনা ছাড়াই বৃহস্পতিবার নির্বাচিত হন গাজীপুরের মেয়র।
News Presentation_2.mp3,"জাহিদা খাতুন,স্বতন্ত্র প্রার্থী,টেবিল ঘড়ি প্রতীক নিয়ে যিনি প্রতিদ্বন্দ্বিতা করেছেন।প্রাপ্ত ভোটের সংখ্যা দুই লক্ষ আটত্রিশ হাজার নয়শত চৌত্রিশ ভোট।"
News Presentation_3.mp3,"আওয়ামী লীগের মনোনীত প্রার্থী, আজমত উল্লাহর সাথে নির্বাচনের মাঠে উত্তাপ ছড়ান গাজীপুরের মেয়র জাহাংগীর আলমের মা জায়েদা খাতুন। ষোল হাজার।"
Online Class_0.mp3,"তো কে কোত্থেকে জয়েন করেছো একটু লিখে জানিয়ে দাও। তাহলে হয়তো আমরা জানতে পারবো কে কে আমাদের সাথে আছো।,কোত্থেকে আছো। হ্যাঁ সময় হলে আমরা চলেও যেতে পারি তোমার এলাকায় বলা যায় না।"
Online Class_1.mp3,তো যারা জয়েন করেছো সবাইকে অসংখ্য ধন্যবাদ।হ্যাঁ ওয়ালাইকুম আসসালাম ওয়ালাইকুম আসসালাম।আমরা চলে যাই আমাদের আলোচনার ক্ষেত্রে। প্রথমত আমরা একটু সিলেবাস নিয়ে কথা বলি
Online Class_2.mp3,যেটা নিয়ে তোমরা সবচেয়ে বেশি উৎসুক ছিলে তোমরা আর কী। আগে থেকেই যতটুকু আমাকে জানিয়েছ বা কমেন্টে জানিয়েছ আরকি।
Online Class_3.mp3,"আমাদের সিলেবাসটা যেহেতু একটু কমে গেছে, কমে গেছে মানে কী, আমাদের তো আসলে একশ মার্কের পরীক্ষা হওয়ার কথা ছিল।সবসময় যেটা হয় আর কী। বাট তোমরা তো একটু স্পেশাল। তোমাদেরকে একশ দিয়ে বিবেচনা করতে হয় না। তোমাদেরকে দুই দিয়ে বিবেচনা করলেও তোমরা দুই এর মধ্যে ওয়ান পয়েন্ট নাইন পেয়ে যাবে।"
Parliament Session_0.mp3,"সংসদের সামনে প্রশ্ন হচ্ছে, মাননীয় সংসদ নেতার অনুমতিক্রমে তার পক্ষে মাননীয় চিফ হুইপের প্রস্তাব মতো, এবং তার প্রস্তাবিত সদস্যদের সমন্বয়ে শিক্ষামন্ত্রনালয়ের সম্পর্কিত স্থায়ী কমিটি গঠন করা হোক।"
Parliament Session_1.mp3,যারা এই প্রস্তাবের পক্ষে আছেন তারা হা বলুন। হা। যারা এই প্রস্তাবের বিপক্ষে আছেন তারা না বলুন।
Parliament Session_2.mp3,"হা জয়যুক্ত হয়েছে হা জয়যুক্ত হয়েছে হা জয়যুক্ত হয়েছে। অতএব, প্রস্তাবটি সংসদে সর্বসম্মতিক্রমে গৃহীত হলো এবং শিক্ষা মন্ত্রণালয় সম্পর্কিত স্থায়ী কমিটি পুনর্গঠিত হলো।"
Parliament Session_3.mp3,"মাননীয় চিফ হুইপ, আপনি এখন পার্বত্য চট্টগ্রাম বিষয়ক মন্ত্রণালয় সম্পর্কিত স্থায়ী কমিটি।"
Poem Recital_0.mp3,বল বীর ।বল উন্নত মম শির!
Poem Recital_1.mp3,শির নেহারি আমারি নতশির ওই শিখর হিমাদ্রির!
Poem Recital_2.mp3,বল বীর।বল মহাবিশ্বের মহাকাশ ফাড়ি।চন্দ্র সূর্য গ্রহ তারা ছাড়ি।
Poem Recital_3.mp3,"ভূলোক দ্যুলোক গোলক ভেদিয়া।খোদার আসন আরশ ছেদিয়া,উঠিয়াছি চির-বিস্ময় আমি বিশ্ববিধাত্রীর।"
Poem Recital_4.mp3,মম ললাটে রুদ্র ভগবান জ্বলে রাজ-রাজটীকা দীপ্ত জয়শ্রীর!
Poem Recital_5.mp3,"বল বীর চির উন্নত শির!আমি চিরদূর্দম, দুর্বিনীত, নৃশংস"
Puthi Literature_0.mp3,যা মূহুর্তেই হৃদয় হয় দারুন তরতাজা।
Puthi Literature_1.mp3,"স্বাদ এবং রং এর ক্ষেত্রে বিকল্প তো নাই,ইফতারি হরেক রকম রুহ আফজা একটাই।"
Puthi Literature_2.mp3,ইফতারি হরেক রকম রুহ আফজা একটাই ইফতারি হরেক রকম রুহ আফজা একটাই।
Puthi Literature_3.mp3,ইফতারি হরেক রকম রুহ আফজা একটাই।দ্বিগুণ প্রশান্তি নিয়ে রুহ আফজা।
Slang Profanity_0.mp3,"এই ধরনের ফকিন্নি চোদা জানোয়ার এর বাচ্চারে পুটকির মধ্যে বাশ দিয়া পাম্পিং করা দরকার,খানকির পোলা।"
Slang Profanity_1.mp3,"তোর যদি এতোই ক্যারা থাকে এতোই যদি মায়া থাকে ফ্যামিলির লাইগা তুই ফার্স্টে প্ল্যানিং করছোস কিয়ের লাইগা। আগে যদি প্ল্যান না থাকে আইছোস কির লাইগা। বান্দিরপুত শালা শুয়রের চোদা।খানকির পোলা,কুত্তার বাচ্চা। ফকিন্নি চোদা, শুয়োর মাগা, জানোয়ারের বাচ্চা, তোর ধোনের ফুতা দিয়া সময়জ্ঞান ভইরা দেয়া দরকার। সময় চোদাইতে আইছে আমার লগে । সময় চোদাইতে আইছে। সময় এক্কেবারে পুটকি দিয়া ভইরা দেয়ার দরকার। খানকির পোলা। শুয়রের বাচ্চা"
Slang Profanity_2.mp3,"জানোয়ারের বাচ্চা। আমার সময়ের কোনো দাম নাই খানকির পোলা। মনে করছে দুনিয়া তো অ্যা দুনিয়াতে একা ওর সময়ের দাম আছে আর কারো সময়ের দাম নাই। এক্কেবারে তুমি এক্কেবারে সময় ওয়ালা সময় চোদাইন্না হইয়া গেছো গা না? সময় চোদক,খাড়া শুয়রচোদা, সময় এক্কেবারে পুটকি দিয়া ভইরা মুখ দিয়া বাইর কইরা দেয়া দরকার। জানোয়ারের বাচ্চা।"
Slang Profanity_3.mp3,খানকির পোলা। সময় দিয়া এক্কবারে চোদায়ে দিমু কুত্তার বাচ্চা। কুত্তা চদা। বিলাইয়ের পুটকি শুংগায়ে দেয়া দরকার। শুয়র চোদা। কুত্তা দিয়া চোদাইয়ে সময়জ্ঞান একেবারে খাওয়ায়ে দিমু খানকির পোলা।
Stage Drama Jatra_0.mp3,"বাংলা, বিহার, ঊড়িষ্যার মহান অধিপতি। তোমার শেষ উপদেশ আমি ভুলি নি জনাব।"
Stage Drama Jatra_1.mp3,ইউরোপীয় বণিকদের উদ্ধত ব্যাবহার আমি সহ্য করবো না। তোমার রাজ্যে আমি তাদের মাথা তুলে দাঁড়াতেও দেব না।
Stage Drama Jatra_2.mp3,"তুমি বলেছিলে ইস্ট ইন্ডিয়া কোম্পানির কর্মচারীদের প্রশ্রয় না দিতে, তুমি বলেছিলে সুযোগ পেলে তারা এ দেশ কেড়ে নেবে।"
Stage Drama Jatra_3.mp3,আমি তাদের তোমার রাজ্যে মাথা তুলে দাঁড়াতেও দেব না।
Stage Drama Jatra_4.mp3,"তোমার অন্তিম সময়ে, তোমার সিংহাসন স্পর্শ করে যে প্রতিজ্ঞা আমি করেছিলাম আমরণ আমি তা পালন করব।"
Talk Show Interview_0.mp3,এবং সংলাপের কোনো কথা আপাতত হচ্ছে না এবং সংলাপ নিয়ে তারা ভাবছেও না।
Talk Show Interview_1.mp3,এবং আমু সাহেবের বক্তব্যটি ব্যাক্তিগত বক্তব্য বলছেন তথ্যমন্ত্রী। স্বরাষ্ট্রমন্ত্রী বলছেন গণতন্ত্রে সংলাপের কোনো বিকল্প নেই। আসলে কার কথা বিশ্বাস করবে জনগণ।
Talk Show Interview_2.mp3,"আপনাকে ধন্যবাদ, আলোচকদের ধন্যবাদ,অগণিত দর্শক শ্রোতা তাদের ও ধন্যবাদ এবং শুভেচ্ছা।"
Talk Show Interview_3.mp3,তো আপনি যে কথাটা শুরু করেছেন এটা কিন্তু গত পরশুদিনের কথা। গত কালকে এ ব্যাপারে অনেক কথা হয়ে গেছে। এবং এ ব্যাপারে আমির হোসেন আমুও কিন্তু উনার একতা ক্ল্যারিফিকেশন দিয়েছেন।
Talk Show Interview_4.mp3,উনি ঐভাবে কথাটা বলেননি। যেটা বলেছেন উনার ভাষ্য অনুযায়ী।
Telemedicine_0.mp3,"মানে ভিতরে যারা রোগী ভর্তি আছে ওদের গুলি। বাইরের লোক গেলে এমনি নেয় না। ওদের কোনো কালেকশন বুথ নেই, এই তো?"
Telemedicine_1.mp3,"না না, ঐখানে বাইরের লোক , মানে বহির্বিভাগের লোকদের নেয় না।"
Telemedicine_2.mp3,আচ্ছা আর একটা ঐ যে যেটা বললাম আপনার মিরপুর ঐ দিকে গেছে।
Telemedicine_3.mp3,"আচ্ছা একটু কাইন্ডলি,হ্যালো। জ্বি বলেন। যদি, এই জায়গায় তো অনেক লাইন হবে, না ঐ যে"
Telemedicine_4.mp3,"আয়ুর্বেদিক এখানে। আরেকটা আরেকটা বলি আপনাকে, আপনি দেখেন অনলাইনে পান কী না বঙ্গবন্ধু বিশ্ববিদ্যালয়, মেডিকেল বিশ্ববিদ্যালয় যেটা ঐখানে।"
Waz Islamic Sermon_0.mp3,"আল্লাহর নবী বলেন উম্মত, কিয়ামত সংঘটিত হওয়ার আগে পৃথিবীর মধ্যে বাহাত্তরটা আলামত হবে"
Waz Islamic Sermon_1.mp3,"তার প্রথম নাম্বার আলামত হলো আমাতুস সালাহ। আমার উম্মতেরা নামাজ মেরে ফেলবে, আমার উম্মতের নামাজ পড়তে চাবে না,নামাজ ছেড়ে দিবে, নামাজ।"
Waz Islamic Sermon_2.mp3,যদি দেখেন সমাজে বেনামাজি বেশি তাহলে বুঝবেন কেয়ামত এর সময় ঘনায়ে গেছে।
Waz Islamic Sermon_3.mp3,"সময় তো এখন চলতেছে, কারণ ঘরে ঘরে বেনামাজির সংখ্যা বেড়ে গেছে। ঠিক।"
Waz Islamic Sermon_4.mp3,"হ্যাঁ, কথা মিথ্যা না সত্য? সত্য। দুই নাম্বারে ওয়ামা দাউলানানা আমানতের খিয়ানত হবে"
